period,er,Date,Symbol
5,0.024108171480748862,2026-07-23,AFRM
6,0.013115379904810806,2026-07-23,AFRM
7,0.020187859611670418,2026-07-23,AFRM
8,0.029106945796249305,2026-07-23,AFRM
9,0.01082749087733945,2026-07-23,AFRM
10,0.04212497470846311,2026-07-23,AFRM
11,0.023923263727492015,2026-07-23,AFRM
12,0.01995183690220236,2026-07-23,AFRM
13,0.06511142429266181,2026-07-23,AFRM
14,0.021817289682393146,2026-07-23,AFRM
1,0.002372499669498282,2026-07-23,AG
2,0.0035111303961883884,2026-07-23,AG
3,-0.0020647892461535945,2026-07-23,AG
4,-0.003491225335811104,2026-07-23,AG
5,0.005331609869627215,2026-07-23,AG
6,0.0027824358186588254,2026-07-23,AG
7,0.004042313467488156,2026-07-23,AG
8,0.012605716126654338,2026-07-23,AG
9,0.005095607327960968,2026-07-23,AG
10,0.025750452060299734,2026-07-23,AG
11,0.01099366442221869,2026-07-23,AG
12,0.01956024695602747,2026-07-23,AG
13,0.04952561058229283,2026-07-23,AG
14,0.014396967584725652,2026-07-23,AG
1,0.003362693181025876,2026-07-23,AGCO
2,0.0008764180330513069,2026-07-23,AGCO
3,-0.0007448171210764023,2026-07-23,AGCO
4,-0.0025772344253741537,2026-07-23,AGCO
5,0.0010858195638397147,2026-07-23,AGCO
6,0.0009213417839513803,2026-07-23,AGCO
7,0.0058827885148456,2026-07-23,AGCO
8,0.012277044270662006,2026-07-23,AGCO
9,0.007868724653785823,2026-07-23,AGCO
10,0.01829398066054514,2026-07-23,AGCO
11,0.013907037875983201,2026-07-23,AGCO
12,0.017031564457116278,2026-07-23,AGCO
13,0.029809664177767484,2026-07-23,AGCO
14,0.019987540569669837,2026-07-23,AGCO
1,0.0032621178441427073,2026-07-23,AGI
2,0.0027780108133437123,2026-07-23,AGI
3,-0.0016770877391178076,2026-07-23,AGI
4,-0.003963176694814729,2026-07-23,AGI
5,0.005049081612766345,2026-07-23,AGI
6,0.0034867631592672634,2026-07-23,AGI
7,0.00662226995456424,2026-07-23,AGI
8,0.014326166728526263,2026-07-23,AGI
9,0.006240392513390922,2026-07-23,AGI
10,0.020235103514109797,2026-07-23,AGI
11,0.010855872267575775,2026-07-23,AGI
12,0.01965645659958587,2026-07-23,AGI
13,0.04098943597814576,2026-07-23,AGI
14,0.015197038485702166,2026-07-23,AGI
1,0.004178062722014466,2026-07-23,AGIO
2,0.0010567952459903992,2026-07-23,AGIO
3,-0.0026670804470560875,2026-07-23,AGIO
4,-0.004145888705653083,2026-07-23,AGIO
5,0.0038937177204243128,2026-07-23,AGIO
6,-0.0012043656549158366,2026-07-23,AGIO
7,0.003688561306429192,2026-07-23,AGIO
8,0.009710341441259443,2026-07-23,AGIO
9,-0.001838044076073174,2026-07-23,AGIO
10,0.019883234825765022,2026-07-23,AGIO
11,0.005960437824069156,2026-07-23,AGIO
12,0.00762087128217285,2026-07-23,AGIO
13,0.02623961143521286,2026-07-23,AGIO
14,0.016902850188500487,2026-07-23,AGIO
1,0.0028191731334362468,2026-07-23,AGL
2,0.0006727447544781943,2026-07-23,AGL
3,0.001102388682001317,2026-07-23,AGL
4,-0.001993362981866357,2026-07-23,AGL
5,0.0010955737236117411,2026-07-23,AGL
6,0.007151918927709776,2026-07-23,AGL
7,0.00387630291831446,2026-07-23,AGL
8,0.013239595646469598,2026-07-23,AGL
9,0.010223355653803943,2026-07-23,AGL
10,0.028270672270829265,2026-07-23,AGL
11,0.014143011529231456,2026-07-23,AGL
12,0.021336090637940824,2026-07-23,AGL
13,0.051073721988221736,2026-07-23,AGL
14,0.01305322309679753,2026-07-23,AGL
1,0.0023735423577047146,2026-07-23,AGNC
2,-8.205980781827239e-05,2026-07-23,AGNC
3,0.00028005092381914884,2026-07-23,AGNC
4,-0.004619423849088167,2026-07-23,AGNC
5,0.0024440982807258163,2026-07-23,AGNC
6,0.0008572269745084622,2026-07-23,AGNC
7,0.006639959532168914,2026-07-23,AGNC
8,0.011852400812313073,2026-07-23,AGNC
9,0.004372651009077455,2026-07-23,AGNC
10,0.020922919629786527,2026-07-23,AGNC
11,0.013236996216784723,2026-07-23,AGNC
12,0.012987126840602648,2026-07-23,AGNC
13,0.030019347699809587,2026-07-23,AGNC
14,0.026355609648673926,2026-07-23,AGNC
1,0.0021430826676512014,2026-07-23,AHCO
2,0.0007501606289211271,2026-07-23,AHCO
3,-0.001055200014926013,2026-07-23,AHCO
4,-0.0027701207085955005,2026-07-23,AHCO
5,0.005782711535616686,2026-07-23,AHCO
6,0.007880048410868791,2026-07-23,AHCO
7,0.01787379396066366,2026-07-23,AHCO
8,0.022997875908479317,2026-07-23,AHCO
9,0.008819735282578086,2026-07-23,AHCO
10,0.03220166235688149,2026-07-23,AHCO
11,0.019967052715708,2026-07-23,AHCO
12,0.012444091494446275,2026-07-23,AHCO
13,0.04171131878309835,2026-07-23,AHCO
14,0.025625176458383244,2026-07-23,AHCO
