Date,Symbol,High_Risk_Score,High_Risk_Score_Sharpe,High_Risk_Score_HoldPeriod,Close_Price,Cap_Size,Sector,Industry,source
2024-08-13,MP,0.014003555314265635,1.8272040869725694,9.666666666666666,11.44,Small,Non-Energy Minerals,Other Metals/Minerals,validate_oot
2024-08-13,ABM,0.013977803732346151,2.0922754230481018,12.0,53.04,Small,Commercial Services,Miscellaneous Commercial Services,validate_oot
2024-08-13,KBH,0.013964712279905362,1.8839847243314893,13.0,80.4,Small,Consumer Durables,Homebuilding,validate_oot
2024-08-13,SNDX,0.013957265034015967,2.0425142191243757,9.666666666666666,19.87,Small,Health Technology,Biotechnology,validate_oot
2024-08-13,GOGL,0.013950988408849797,1.885284312691705,13.0,12.01,Small,Transportation,Marine Shipping,validate_oot
2024-08-13,AFRM,0.013941843485932451,1.7446926692148748,10.0,26.25,Small,Finance,Finance/Rental/Leasing,validate_oot
2024-08-13,NFE,0.01391913450623273,1.84132918672938,10.333333333333334,13.1,Small,Utilities,Gas Distributors,validate_oot
2024-08-13,VRDN,0.013812205159495397,1.7151220573750663,7.666666666666667,14.7,Small,Health Technology,Pharmaceuticals: Major,validate_oot
2024-08-13,IOVA,0.013780764286021159,1.8452607858824668,10.333333333333334,10.74,Small,Health Technology,Biotechnology,validate_oot
2024-08-13,DYN,0.013768758236871672,1.7655582262895075,10.0,43.64,Small,Health Technology,Biotechnology,validate_oot
2024-08-13,GL,0.013749282570998613,1.9150475793411295,9.666666666666666,93.18,Small,Finance,Multi-Line Insurance,validate_oot
2024-08-13,VIR,0.013729869008679977,1.8117049428271796,10.333333333333334,8.5,Small,Health Technology,Biotechnology,validate_oot
2024-08-13,APLS,0.013716483227457952,1.734778610107844,9.666666666666666,35.72,Small,Health Technology,Pharmaceuticals: Major,validate_oot
2024-08-13,GTES,0.013680947398826741,2.215635449703878,13.0,16.53,Small,Producer Manufacturing,Industrial Machinery,validate_oot
2024-08-13,AR,0.0136454134435349,2.0374446438118836,9.666666666666666,27.29,Small,Energy Minerals,Oil & Gas Production,validate_oot
2024-08-13,CIEN,0.013602974204493828,1.9973131019254844,10.0,49.68,Small,Electronic Technology,Telecommunications Equipment,validate_oot
2024-08-13,BXMT,0.013599964660131678,1.7477332344816567,9.0,17.32,Small,Finance,Real Estate Investment Trusts,validate_oot
2024-08-13,DNLI,0.013597007475839917,1.9156014220706175,10.0,23.02,Small,Health Technology,Biotechnology,validate_oot
2024-08-13,TGTX,0.0135794555387022,1.5405900568986362,9.666666666666666,21.23,Small,Health Technology,Pharmaceuticals: Major,validate_oot
2024-08-13,JAZZ,0.013560771917997991,1.794794625633624,9.666666666666666,111.68,Small,Health Technology,Pharmaceuticals: Major,validate_oot
2024-08-13,ATEC,0.01355831366312085,1.6744895204614045,13.0,6.03,Small,Health Technology,Medical Specialties,validate_oot
2024-08-13,WHD,0.013555696568182986,2.0308426370013164,13.0,58.13,Small,Industrial Services,Oilfield Services/Equipment,validate_oot
2024-08-13,SONO,0.013532129273379127,1.897249710888822,10.333333333333334,11.73,Small,Consumer Durables,Electronics/Appliances,validate_oot
2024-08-13,CNO,0.013526236379422471,2.062347371560235,9.666666666666666,31.49,Small,Finance,Multi-Line Insurance,validate_oot
2024-08-13,MOMO,0.013523118978518794,1.8575149001103868,13.0,6.95,Small,Technology Services,Packaged Software,validate_oot
2024-08-13,LEGN,0.013522076735387772,1.8890616474112223,11.0,57.08,Small,Health Technology,Pharmaceuticals: Major,validate_oot
